Помогите мне | Здравствуйте, чем могу помочь?

Здравствуйте | Здравствуйте, чем могу помочь?

Привет | Здравствуйте, чем могу помочь?

Спасибо | Рад был помочь.

просто так забанили | Что бы мы вам помогли вам надо сказать - 1) Ваш ник 2) Ник администратора 3) Причина бана. После заполнения ожидайте ответа от персонала

Меня забанили | Что бы мы вам помогли вам надо сказать - 1) Ваш ник 2) Ник администратора 3) Причина бана. После заполнения ожидайте ответа от персонала

мне дали бан ни за что | Что бы мы вам помогли вам надо сказать - 1) Ваш ник 2) Ник администратора 3) Причина бана. После заполнения ожидайте ответа от персонала

меня замутили ни за что | Что бы мы вам помогли вам надо сказать - 1) Ваш ник 2) Ник администратора 3) Текст 4) Причина мута. После заполнения ожидайте ответа от персонала

просто так замутили | Что бы мы вам помогли вам надо сказать - 1) Ваш ник 2) Ник администратора 3) Текст 4) Причина мута. После заполнения ожидайте ответа от персонала

Меня замутили | Что бы мы вам помогли вам надо сказать - 1) Ваш ник 2) Ник администратора 3) Текст 4) Причина мута. После заполнения ожидайте ответа от персонала

тут читер играет | Чтобы мы передали информацию админам, пожалуйста, укажите:  1) Ник читера  2) Сервер, на котором вы заметили нарушение.

читеры на | Чтобы мы передали информацию админам, пожалуйста, укажите:  1) Ник читера  2) Сервер, на котором вы заметили нарушение.

на сервере читер | Чтобы мы передали информацию админам, пожалуйста, укажите:  1) Ник читера  2) Сервер, на котором вы заметили нарушение.

забаньте читера | Чтобы мы передали информацию админам, пожалуйста, укажите:  1) Ник читера  2) Сервер, на котором вы заметили нарушение.

Как активировать промокоды | Что бы активировать промокод вам нужно зайти на наш сайт, нажать на товар, который вы хотите купить и ввести промокод в окно с вводом промокода (ввести промокод)

Где брать промокоды | Промокоды регулярно публикуются в наших социальных сетях. Следите за обновлениями, чтобы не пропустить уникальные предложения!

Как стать модератором | Чтобы стать модератором, вам нужно написать заявку

Админ с читами | Чтобы мы передали информацию админам, пожалуйста, укажите:  1) Ник администратора  2) Сервер, на котором вы заметили нарушение. 3) Тип чита.

меня взломали | Если вас взломали, предоставьте, пожалуйста, информацию с доказательствами. Укажите ник админа в игре, ник админа в Discord и скриншот сообщения от админа.

админ вирусы кидает | Пожалуйста, предоставьте информацию о администраторе, укажите его ник в игре и в Discord, а также скриншот с доказательствами.

админ неадекватит | Укажите ник администратора и предоставьте доказательства его неадекватного поведения.
